iter	Passed	Remaining
0	49	49257
1	50	25256
2	51	17247
3	53	13245
4	54	10853
5	55	9260
6	57	8126
7	58	7288
8	60	6635
9	61	6120
10	63	5713
11	64	5350
12	66	5030
13	67	4762
14	68	4523
15	70	4319
16	71	4161
17	73	3997
18	74	3853
19	75	3720
20	78	3662
21	80	3559
22	81	3455
23	82	3361
24	84	3277
25	85	3199
26	86	3127
27	88	3066
28	89	3000
29	90	2941
30	92	2888
31	93	2832
32	95	2784
33	96	2738
34	97	2692
35	99	2651
36	100	2610
37	101	2571
38	103	2540
39	104	2509
40	105	2476
41	107	2445
42	108	2414
43	110	2395
44	111	2367
45	113	2346
46	114	2321
47	115	2298
48	117	2276
49	118	2254
50	120	2237
51	121	2215
52	122	2187
53	123	2160
54	124	2134
55	125	2109
56	126	2084
57	126	2062
58	127	2040
59	128	2018
60	129	1995
61	130	1971
62	130	1948
63	131	1924
64	132	1902
65	132	1881
66	133	1859
67	134	1841
68	135	1821
69	135	1803
70	136	1784
71	137	1767
72	137	1748
73	138	1729
74	138	1711
75	139	1693
76	139	1675
77	140	1658
78	140	1642
79	141	1626
80	142	1611
81	142	1596
82	142	1578
83	143	1563
84	143	1548
85	144	1534
86	144	1520
87	145	1506
88	145	1493
89	146	1479
90	146	1466
91	147	1453
92	147	1440
93	148	1427
94	148	1415
95	149	1403
96	149	1391
97	149	1379
98	150	1366
99	150	1353
100	150	1340
101	150	1328
102	151	1316
103	151	1304
104	151	1292
105	151	1280
106	152	1269
107	152	1258
108	152	1247
109	152	1237
110	153	1226
111	153	1216
112	153	1206
113	153	1196
114	154	1186
115	154	1176
116	154	1166
117	154	1157
118	155	1148
119	155	1139
120	155	1131
121	155	1121
122	156	1113
123	156	1104
124	156	1096
125	156	1088
126	157	1079
127	157	1071
128	157	1064
129	157	1056
130	158	1048
131	158	1042
132	158	1035
133	159	1028
134	159	1020
135	159	1013
136	159	1007
137	160	1000
138	160	993
139	160	986
140	160	980
141	161	973
142	161	967
143	161	960
144	161	954
145	162	948
146	162	942
147	162	936
148	162	930
149	163	924
150	163	918
151	163	913
152	163	907
153	164	901
154	164	896
155	164	891
156	164	885
157	165	880
158	165	875
159	165	869
160	165	864
161	166	859
162	166	854
163	166	849
164	166	844
165	167	839
166	167	835
167	167	830
168	167	825
169	168	821
170	168	816
171	168	812
172	168	807
173	169	803
174	169	798
175	169	794
176	169	790
177	170	786
178	170	782
179	170	778
180	171	773
181	171	769
182	171	765
183	171	761
184	172	757
185	172	753
186	172	750
187	172	746
188	173	742
189	173	739
190	173	735
191	173	731
192	174	728
193	174	724
194	174	721
195	174	717
196	175	713
197	175	710
198	175	707
199	175	703
200	176	700
201	176	696
202	176	693
203	176	690
204	177	687
205	177	683
206	177	680
207	177	677
208	178	674
209	178	671
210	178	668
211	178	665
212	179	662
213	179	659
214	179	656
215	180	653
216	180	650
217	180	647
218	180	644
219	181	641
220	181	638
221	181	636
222	181	633
223	182	630
224	182	627
225	182	625
226	182	622
227	183	619
228	183	617
229	183	614
230	183	611
231	184	609
232	184	606
233	184	604
234	184	601
235	185	599
236	185	596
237	185	594
238	185	591
239	186	589
240	186	586
241	186	584
242	186	582
243	187	579
244	187	577
245	187	575
246	187	572
247	188	570
248	188	568
