iter	Passed	Remaining
0	49	49280
1	49	24791
2	49	16616
3	50	12519
4	50	10073
5	50	8426
6	51	7265
7	51	6381
8	51	5693
9	51	5144
10	52	4696
11	52	4323
12	52	4006
13	53	3733
14	53	3498
15	53	3291
16	53	3109
17	54	2947
18	54	2803
19	54	2673
20	54	2555
21	55	2449
22	55	2352
23	55	2262
24	55	2180
25	56	2103
26	56	2033
27	56	1967
28	56	1907
29	57	1850
30	57	1797
31	57	1747
32	58	1700
33	58	1655
34	58	1613
35	58	1573
36	59	1535
37	59	1500
38	59	1466
39	59	1434
40	60	1404
41	60	1375
42	60	1348
43	60	1322
44	61	1297
45	61	1274
46	61	1250
47	61	1228
48	62	1207
49	62	1186
50	62	1167
51	62	1148
52	63	1130
53	63	1112
54	63	1095
55	64	1079
56	64	1063
57	64	1048
58	64	1033
59	65	1019
60	65	1005
61	65	991
62	65	978
63	66	966
64	66	954
65	66	942
66	66	931
67	67	920
68	67	909
69	67	899
70	67	888
71	68	878
72	68	869
73	68	859
74	68	850
75	69	841
76	69	832
77	69	824
78	69	815
79	70	807
80	70	799
81	70	791
82	70	782
83	71	775
84	71	767
85	71	760
86	71	753
87	72	747
88	72	740
89	72	734
90	72	728
91	73	722
92	73	715
93	73	710
94	73	704
95	74	698
96	74	692
97	74	687
98	74	681
99	75	680
100	75	674
101	76	670
102	76	665
103	76	660
104	76	655
105	77	650
106	77	646
107	77	642
108	78	637
109	78	633
110	78	629
111	78	625
112	79	621
113	79	617
114	79	613
115	79	609
116	80	605
117	80	601
118	80	597
119	80	593
120	81	589
121	81	585
122	81	582
123	81	578
124	82	574
125	82	571
126	82	567
127	82	564
128	83	561
129	83	557
130	83	554
131	83	551
132	84	548
133	84	545
134	84	542
135	84	539
136	85	536
137	85	533
138	85	530
139	85	527
140	86	524
141	86	521
142	86	518
143	86	516
144	87	513
145	87	511
146	87	508
147	87	506
148	88	504
149	88	501
150	88	499
151	89	497
152	89	494
153	89	492
154	89	490
155	90	487
156	90	485
157	91	486
158	91	483
159	91	481
160	91	479
161	92	477
162	92	474
163	92	472
164	93	470
165	93	468
166	93	466
167	93	464
168	94	462
169	94	460
170	94	458
171	94	456
172	95	454
173	95	452
174	95	450
175	95	449
176	96	447
177	96	445
178	96	443
179	96	441
180	97	439
181	97	437
182	97	436
183	97	434
184	98	432
185	98	430
186	98	429
187	98	427
188	99	425
189	99	423
190	99	422
191	99	420
192	100	418
193	100	417
194	100	415
195	100	414
196	101	412
197	101	411
198	101	409
199	101	407
200	102	406
201	102	404
202	102	403
203	103	401
204	103	400
205	103	399
206	103	397
207	104	396
208	104	394
209	104	393
210	104	391
211	105	390
212	105	389
213	105	387
214	105	386
215	106	385
216	106	383
217	106	382
218	106	381
219	107	379
220	107	378
221	107	377
222	107	376
223	108	374
224	108	373
225	108	372
226	108	371
227	109	369
228	109	368
229	109	367
230	110	366
231	110	365
232	110	363
233	110	362
234	111	361
235	111	360
236	111	359
237	111	357
238	112	356
239	112	355
240	112	354
241	112	353
242	113	352
243	113	351
244	113	350
245	113	348
246	114	347
247	114	346
248	114	345
249	114	344
250	115	343
251	115	343
252	115	342
253	116	341
254	116	340
255	116	339
256	117	338
257	117	337
258	117	336
259	117	335
260	118	334
261	118	333
262	118	332
263	118	331
264	119	330
265	119	329
266	119	328
267	119	327
268	120	326
269	120	325
270	120	324
271	120	323
272	121	322
273	121	321
274	121	320
275	121	319
276	122	318
277	122	317
278	122	316
279	122	315
280	123	315
281	123	314
282	123	313
283	123	312
284	124	311
285	124	310
286	124	309
287	124	308
288	125	307
289	125	306
290	125	306
291	125	305
292	126	304
293	126	303
294	126	302
295	126	301
296	127	301
297	127	300
298	127	299
299	127	298
300	128	297
301	128	296
302	128	296
